Ticker,Date,Open,High,Low,Close,Adj Close,Volume
SPY,1-Jan-00,148.25,148.25,135,139.5625,90.454781,"156,770,800"
SPY,1-Feb-00,139.75,144.5625,132.71875,137.4375,89.07756,"186,938,300"
SPY,1-Mar-00,137.625,155.75,135.03125,150.375,97.462669,"247,594,900"
SPY,1-Apr-00,150.125,153.109375,133.5,145.09375,94.278763,"229,246,200"
SPY,1-May-00,146.5625,148.484375,136.5,142.8125,92.796486,"161,024,000"
SPY,1-Jun-00,143.6875,149.15625,143,145.28125,94.40065,"127,146,000"
SPY,1-Jul-00,145.4375,151.984375,141.515625,143,93.137054,"106,780,100"
SPY,1-Aug-00,143.625,153.09375,142.625,152.34375,99.22274,"102,365,500"
SPY,1-Sep-00,153.25,153.59375,142.125,143.625,93.544151,"113,203,000"
SPY,1-Oct-00,144.28125,145.75,130.15625,142.953125,93.340454,"178,392,400"
SPY,1-Nov-00,142.25,144.296875,129.75,132.28125,86.37233,"156,699,900"
SPY,1-Dec-00,133.1875,139.5625,125.53125,131.1875,85.65815,"165,416,700"
SPY,1-Jan-01,132,138.699997,127.5625,137.020004,89.740837,"181,296,400"
SPY,1-Feb-01,137.100006,137.990005,121.800003,123.949997,81.180695,"178,607,000"
SPY,1-Mar-01,124.050003,127.75,108.040001,116.690002,76.425789,"318,187,200"
SPY,1-Apr-01,116.300003,127.269997,109.300003,126.660004,83.178947,"251,839,700"
SPY,1-May-01,125.07,132.089996,123.440002,125.949997,82.712715,"208,040,000"
SPY,1-Jun-01,126.199997,129.229996,120.400002,122.599998,80.512711,"203,578,200"
SPY,1-Jul-01,122.800003,124.32,116.75,121.349998,79.91848,"196,892,900"
SPY,1-Aug-01,121.970001,123.25,112.040001,114.150002,75.17675,"269,599,600"
SPY,1-Sep-01,113.849998,116.169998,93.800003,104.440002,68.781914,"419,156,100"
SPY,1-Oct-01,103.900002,111.790001,102.830002,105.800003,69.939064,"512,612,000"
SPY,1-Nov-01,106.599998,116.900002,105.699997,114.050003,75.392685,"372,515,000"
SPY,1-Dec-01,113.650002,118,112,114.300003,75.557961,"308,403,900"
SPY,1-Jan-02,115.110001,117.989998,108.400002,113.18,75.074959,"349,380,000"
SPY,1-Feb-02,113.089996,113.300003,107.82,111.150002,73.728386,"424,492,600"
SPY,1-Mar-02,111.720001,117.900002,111.510002,114.519997,75.963799,"385,578,100"
SPY,1-Apr-02,114.230003,115.099998,106.629997,107.860001,71.750954,"404,461,000"
SPY,1-May-02,107.970001,111.25,104.900002,107.220001,71.325241,"452,626,500"
SPY,1-Jun-02,107.089996,107.599998,95.190002,98.959999,65.830475,"534,883,500"
SPY,1-Jul-02,99.18,99.800003,77.68,91.160004,60.854004,"1,124,248,800"
SPY,1-Aug-02,90.879997,97.150002,83.550003,91.779999,61.267902,"936,191,200"
SPY,1-Sep-02,90.730003,93.330002,80.900002,81.790001,54.599049,"1,013,828,600"
SPY,1-Oct-02,82.43,91.290001,77.07,88.519997,59.356575,"1,344,248,100"
SPY,1-Nov-02,88.349998,94.949997,87.449997,93.980003,63.017742,"818,243,400"
SPY,1-Dec-02,95.470001,96.050003,87.110001,88.230003,59.162136,"728,285,900"
SPY,1-Jan-03,88.849998,93.860001,84.150002,86.059998,57.990612,"911,319,900"
SPY,1-Feb-03,86.139999,86.809998,81,84.900002,57.208969,"862,248,300"
SPY,1-Mar-03,85.260002,89.879997,79.379997,84.739998,57.101147,"1,156,870,200"
SPY,1-Apr-03,85.25,92.800003,84.910004,91.910004,62.182278,"996,114,200"
SPY,1-May-03,91.919998,97.089996,90.5,96.949997,65.592148,"881,509,900"
SPY,1-Jun-03,97.529999,102.18,96.669998,97.629997,66.052208,"867,970,200"
SPY,1-Jul-03,97.25,101.900002,96.43,99.389999,67.48584,"895,260,500"
SPY,1-Aug-03,99.190002,101.82,96.339996,101.440002,68.877777,"772,702,000"
SPY,1-Sep-03,101.639999,104.699997,99.25,99.949997,67.866112,"818,513,400"
SPY,1-Oct-03,100.239998,105.970001,100.199997,105.300003,71.773201,"831,700,900"
SPY,1-Nov-03,105.75,106.949997,103.620003,106.449997,72.556984,"630,654,200"
